Organization,Signal_Role,Location,Primary_EHR,Primary_EHR_Placeholder,Hiring_Density,Qualification_Score,Denial_Signals,Job_Link,Detected_At,Status
Mile Bluff Medical Center,Denial Management Specialist,"Mauston, WI",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials",https://www.linkedin.com/jobs/view/denial-management-specialist-at-mile-bluff-medical-center-4428680691?position=1&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=VC%2BUmBvLVJRpBw0OnQ20eA%3D%3D,2026-06-22,QUALIFIED
United Surgical Partners International,Facility Appeals Denial Management Specialist,"Oklahoma City, OK",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/facility-appeals-denial-management-specialist-at-united-surgical-partners-international-inc-4419347776?position=2&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=NADdmjkRN4JiWfEilEcjhQ%3D%3D,2026-06-22,QUALIFIED
Northside Hospital,Denial Management Specialist- Physician,"Atlanta, GA",Unknown EHR,your current EHR,2,MEDIUM,"denial, appeal",https://www.linkedin.com/jobs/view/denial-management-specialist-physician-at-northside-hospital-4404887516?position=3&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=u7zhTp2SASImFaBpEWETrQ%3D%3D,2026-06-22,QUALIFIED
The Cardiac & Vascular Institute,AR Resolution Specialist Lead,"Gainesville, FL",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/ar-resolution-specialist-lead-at-the-cardiac-vascular-institute-4420602730?position=4&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=%2F28OLBbce2vtc66SKhivMw%3D%3D,2026-06-22,QUALIFIED
Atrium,Revenue Cycle Specialist,"Sandy Springs, GA",Unknown EHR,your current EHR,1,MEDIUM,"denial, denials, underpayment",https://www.linkedin.com/jobs/view/revenue-cycle-specialist-at-atrium-4427145609?position=5&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=mZSOOOXzlGJA7eiPp%2BmiSA%3D%3D,2026-06-22,QUALIFIED
Gear,Junior Medical AR & Denial Management Specialist,"Muntinlupa City, National Capital Region, Philippines",Unknown EHR,your current EHR,1,MEDIUM,denial,https://ph.linkedin.com/jobs/view/junior-medical-ar-denial-management-specialist-at-gear-inc-4430571378?position=1&pageNum=0&refId=WBkCXtUVZ3lebJnKz5oUNA%3D%3D&trackingId=lJlfWluQrEYAOD%2BBkJVU7g%3D%3D,2026-06-22,QUALIFIED
Omada Health,Revenue Cycle Analyst,United States,Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, underpayment",https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-omada-health-4417958755?position=1&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=7X7QqS8PFRaG1%2FdDfP%2BPhw%3D%3D,2026-06-22,QUALIFIED
Amazon,"Revenue Cycle Analyst I, Amazon One Medical",United States,Unknown EHR,your current EHR,4,MEDIUM,"denial, denials, accounts receivable",https://www.linkedin.com/jobs/view/revenue-cycle-analyst-i-amazon-one-medical-at-amazon-4413406964?position=2&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=3qhSbE964D%2FNcGmlijwitA%3D%3D,2026-06-22,QUALIFIED
Cedars-Sinai,Revenue Cycle Analyst (Remote),"Los Angeles, CA",Epic,Epic,2,HIGH,"denial, clearinghouse",https://www.linkedin.com/jobs/view/revenue-cycle-analyst-remote-at-cedars-sinai-4399503739?position=3&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=F7LgG7jq8LggzYcDjK%2FWKA%3D%3D,2026-06-22,QUALIFIED
Delphi-US - Peacemakers in the Talent War,Revenue Cycle Analyst,"Providence, RI",Unknown EHR,your current EHR,2,MEDIUM,denial,https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-delphi-us-llc-peacemakers-in-the-talent-war-4427759174?position=4&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=8CrjyH%2BN%2FokGXXp519rX%2FA%3D%3D,2026-06-22,QUALIFIED
Zynex Medical,Billing Team Lead,"Denver, CO",Unknown EHR,your current EHR,2,MEDIUM,"denial, appeal, appeals",https://www.linkedin.com/jobs/view/billing-team-lead-at-zynex-medical-4422676639?position=1&pageNum=0&refId=UGZIxbTQfeKF1MFzEF1fIw%3D%3D&trackingId=j9LX0%2BlZdiRa%2FLFlhL64uA%3D%3D,2026-06-22,QUALIFIED
Medix™,Claims Specialist - 287456,United States,Unknown EHR,your current EHR,2,MEDIUM,"appeal, appeals",https://www.linkedin.com/jobs/view/claims-specialist-287456-at-medix%E2%84%A2-4423689289?position=2&pageNum=0&refId=UGZIxbTQfeKF1MFzEF1fIw%3D%3D&trackingId=TVr2vIAZC3BcjU9uoXTe%2Fg%3D%3D,2026-06-22,QUALIFIED
Curative,Claims Resolution Specialist,"Austin, TX",Unknown EHR,your current EHR,1,MEDIUM,"appeal, appeals, underpayment",https://www.linkedin.com/jobs/view/claims-resolution-specialist-at-curative-4423564416?position=3&pageNum=0&refId=UGZIxbTQfeKF1MFzEF1fIw%3D%3D&trackingId=p13o%2FgYzd5eQtOE6MLFFeA%3D%3D,2026-06-22,QUALIFIED
Exact Billing Solutions,Medical Billing Specialist,"Hollywood, FL",Unknown EHR,your current EHR,1,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/medical-billing-specialist-at-exact-billing-solutions-4343111737?position=4&pageNum=0&refId=UGZIxbTQfeKF1MFzEF1fIw%3D%3D&trackingId=SHbDFYjVBfe3Q6qnk5DwJA%3D%3D,2026-06-22,QUALIFIED
Handi Medical Supply,Medical Billing Specialist,"St Paul, MN",Unknown EHR,your current EHR,1,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/medical-billing-specialist-at-handi-medical-supply-inc-4425117760?position=5&pageNum=0&refId=UGZIxbTQfeKF1MFzEF1fIw%3D%3D&trackingId=PXt2Wo9R%2Fd72vIPC97t29A%3D%3D,2026-06-22,QUALIFIED
Sailor Health,Medical Claims Billing Specialist (Philippines),Philippines,Unknown EHR,your current EHR,1,MEDIUM,"denial, denials, appeal",https://ph.linkedin.com/jobs/view/medical-claims-billing-specialist-philippines-at-sailor-health-4412847586?position=1&pageNum=0&refId=T%2F8Ll0CivNQhA8Q%2B7o471Q%3D%3D&trackingId=Z2jESQDjUD%2F7ukiMnN5q3g%3D%3D,2026-06-22,QUALIFIED
RemoteVA,Medical Billing Denials & Appeals Specialist,Philippines,Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://ph.linkedin.com/jobs/view/medical-billing-denials-appeals-specialist-at-remoteva-4371432918?position=3&pageNum=0&refId=T%2F8Ll0CivNQhA8Q%2B7o471Q%3D%3D&trackingId=p7E%2FFqX7Z%2FmavasIoFO6DA%3D%3D,2026-06-22,QUALIFIED
CSI Companies,Clinical Documentation Specialist,United States,Epic,Epic,2,MEDIUM,None detected,https://www.linkedin.com/jobs/view/clinical-documentation-specialist-at-csi-companies-4422958585?position=1&pageNum=0&refId=H4rTRQZT3i5aH7RqyeXCgw%3D%3D&trackingId=IwGko12IwHcpfUtvLfWa3A%3D%3D,2026-06-22,QUALIFIED
Cardiovascular Associates of America - CVAUSA,Research and Quality Assistant,United States,Unknown EHR,your current EHR,2,LOW,None detected,https://www.linkedin.com/jobs/view/research-and-quality-assistant-at-cardiovascular-associates-of-america-cvausa-4428230014?position=2&pageNum=0&refId=H4rTRQZT3i5aH7RqyeXCgw%3D%3D&trackingId=s%2FegANy2QkBnL8pYPlcQUw%3D%3D,2026-06-22,QUALIFIED
OncoHealth,Case Review Specialist,United States,Unknown EHR,your current EHR,1,MEDIUM,"prior auth, prior authorization",https://www.linkedin.com/jobs/view/case-review-specialist-at-oncohealth-4358990106?position=3&pageNum=0&refId=H4rTRQZT3i5aH7RqyeXCgw%3D%3D&trackingId=dCYZdZO8pAOi4UKuo%2Fay3g%3D%3D,2026-06-22,QUALIFIED
Verbal Beginnings,Clinical Documentation Specialist,United States,Unknown EHR,your current EHR,2,LOW,None detected,https://www.linkedin.com/jobs/view/clinical-documentation-specialist-at-verbal-beginnings-4425851806?position=4&pageNum=0&refId=H4rTRQZT3i5aH7RqyeXCgw%3D%3D&trackingId=GHbwsNPBKcqRZA4dberylg%3D%3D,2026-06-22,QUALIFIED
Mahajan Therapeutics,Clinical Documentation Auditor,"Portsmouth, OH",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, medical necessity",https://www.linkedin.com/jobs/view/clinical-documentation-auditor-at-mahajan-therapeutics-4421243611?position=5&pageNum=0&refId=H4rTRQZT3i5aH7RqyeXCgw%3D%3D&trackingId=vZpCmhnjpr2I3r6hIQCqMw%3D%3D,2026-06-22,QUALIFIED
HM Hospitales,Técnico/a Documentación Clínica - Madrid,"Madrid, Community of Madrid, Spain",Unknown EHR,your current EHR,1,LOW,None detected,https://es.linkedin.com/jobs/view/t%C3%A9cnico-a-documentaci%C3%B3n-cl%C3%ADnica-madrid-at-hm-hospitales-4419313777?position=2&pageNum=0&refId=JRaEuyTT74Y8cUER8bhmzg%3D%3D&trackingId=ygOTzak%2BYUVBOQ7KwwAmEw%3D%3D,2026-06-22,QUALIFIED
Moda Health,Medical Claims Processor I,"Portland, OR",Unknown EHR,your current EHR,2,MEDIUM,"appeal, appeals",https://www.linkedin.com/jobs/view/medical-claims-processor-i-at-moda-health-4425401246?position=1&pageNum=0&refId=s839cJrmwB9y8WucoOvSbg%3D%3D&trackingId=7TIuQz17qNhx%2BUXEHTY9eg%3D%3D,2026-06-20,QUALIFIED
Scion Staffing,Intake Coordinator,United States,Unknown EHR,your current EHR,2,LOW,None detected,https://www.linkedin.com/jobs/view/intake-coordinator-at-scion-staffing-4416730652?position=5&pageNum=0&refId=PdgO7crjSN5fqqg6M2Wybg%3D%3D&trackingId=sqU39lYzRUNKKNJnjoVoZg%3D%3D,2026-06-20,QUALIFIED
Blue Cross Blue Shield of Arizona,Medical Appeals and Grievance (MAG) Specialist II - Remote,"Phoenix, AZ",Unknown EHR,your current EHR,2,MEDIUM,"appeal, appeals, medical necessity",https://www.linkedin.com/jobs/view/medical-appeals-and-grievance-mag-specialist-ii-remote-at-blue-cross-blue-shield-of-arizona-4404527418?position=1&pageNum=0&refId=dNkq%2FAisFXxEL1Y5Q6tJWw%3D%3D&trackingId=VeflWEo1fWxL9KBS725diA%3D%3D,2026-06-20,QUALIFIED
University of Colorado Medicine,Medical Claims Denial & Appeals Specialist,"Aurora, CO",Unknown EHR,your current EHR,4,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/medical-claims-denial-appeals-specialist-at-university-of-colorado-medicine-4420641635?position=2&pageNum=0&refId=dNkq%2FAisFXxEL1Y5Q6tJWw%3D%3D&trackingId=LKLAaqEbLKZ1EAhQW6MBhQ%3D%3D,2026-06-20,QUALIFIED
EvergreenHealth,Denial Management Specialist,"Kirkland, WA",Epic,Epic,2,HIGH,"denial, denials, appeal",https://www.linkedin.com/jobs/view/denial-management-specialist-at-evergreenhealth-4390176138?position=3&pageNum=0&refId=dNkq%2FAisFXxEL1Y5Q6tJWw%3D%3D&trackingId=lhBIvZ8ufJFxmt5c%2B6dMbg%3D%3D,2026-06-20,QUALIFIED
UChicago Medicine,"IMH PFS Denial Specialist, Full Time - Days","Burr Ridge, IL",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/imh-pfs-denial-specialist-full-time-days-at-uchicago-medicine-4428857798?position=4&pageNum=0&refId=dNkq%2FAisFXxEL1Y5Q6tJWw%3D%3D&trackingId=XmAWFUaVhKAWCqfeTbPjIw%3D%3D,2026-06-20,QUALIFIED
UT Southwestern Medical Center,Technical Denials Management Specialist II,"Dallas, TX",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/technical-denials-management-specialist-ii-at-ut-southwestern-medical-center-4413341383?position=5&pageNum=0&refId=dNkq%2FAisFXxEL1Y5Q6tJWw%3D%3D&trackingId=sR7748fmTJxjfM%2Fzm3RUEA%3D%3D,2026-06-20,QUALIFIED
Sanitas Medical Centers,Revenue Cycle Specialist,"Jacksonville, FL",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/revenue-cycle-specialist-at-sanitas-medical-centers-4430720584?position=1&pageNum=0&refId=vRxhZcsvQewQ5MK2y2KJVg%3D%3D&trackingId=%2Bx%2BlF3GmaLXbw%2FbL%2BgGouA%3D%3D,2026-06-20,QUALIFIED
Piedmont Health Services,Revenue Cycle Analyst II,"Chapel Hill, NC",Unknown EHR,your current EHR,2,LOW,None detected,https://www.linkedin.com/jobs/view/revenue-cycle-analyst-ii-at-piedmont-health-services-inc-4377504151?position=2&pageNum=0&refId=vRxhZcsvQewQ5MK2y2KJVg%3D%3D&trackingId=uBbXqvprACGP1viAx5nl5A%3D%3D,2026-06-20,QUALIFIED
USA Health,"Revenue Integrity Charge Analyst - Revenue Integrity, USA Health","Mobile, AL",Cerner,Cerner,2,HIGH,denial,https://www.linkedin.com/jobs/view/revenue-integrity-charge-analyst-revenue-integrity-usa-health-at-usa-health-4400876350?position=3&pageNum=0&refId=vRxhZcsvQewQ5MK2y2KJVg%3D%3D&trackingId=Pz23uu%2BNR85%2BCtvPMMoIYQ%3D%3D,2026-06-20,QUALIFIED
ECU Health,Revenue Integrity Analyst II,"Greenville, NC",Epic,Epic,2,MEDIUM,None detected,https://www.linkedin.com/jobs/view/revenue-integrity-analyst-ii-at-ecu-health-4431141017?position=4&pageNum=0&refId=vRxhZcsvQewQ5MK2y2KJVg%3D%3D&trackingId=ws9u%2F7c4d9Jq6kXr6AG8Qg%3D%3D,2026-06-20,QUALIFIED
Ob Hospitalist Group,Billing Integrity Analyst,"Greenville, SC",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials",https://www.linkedin.com/jobs/view/billing-integrity-analyst-at-ob-hospitalist-group-4426663139?position=5&pageNum=0&refId=vRxhZcsvQewQ5MK2y2KJVg%3D%3D&trackingId=FoqaEtd9Bn%2FEkOrUcqfVHQ%3D%3D,2026-06-20,QUALIFIED
Aspirion,"Appeals Specialist - Hospital Billing, Underpayments","Atlanta, GA","Epic, Cerner, Athenahealth, MEDITECH","Epic, Cerner, Athenahealth, MEDITECH",4,HIGH,"denial, denials, appeal",https://www.linkedin.com/jobs/view/appeals-specialist-hospital-billing-underpayments-at-aspirion-4416997755?position=1&pageNum=0&refId=IaXyMALuLfuObktlOfb6lg%3D%3D&trackingId=%2FdjBASqh6Vf0HsVVYh4%2BOQ%3D%3D,2026-06-20,QUALIFIED
Quadax,Appeals Specialist,"Middleburg Heights, OH",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/appeals-specialist-at-quadax-inc-4430009554?position=3&pageNum=0&refId=IaXyMALuLfuObktlOfb6lg%3D%3D&trackingId=oJVRyD9r6PFc6bitfG99AQ%3D%3D,2026-06-20,QUALIFIED
Celebration Health & Wellness,"Medical Biller - Remote, FL-based","Celebration, FL",Unknown EHR,your current EHR,2,MEDIUM,appeal,https://www.linkedin.com/jobs/view/medical-biller-remote-fl-based-at-celebration-health-wellness-4417849072?position=5&pageNum=0&refId=IaXyMALuLfuObktlOfb6lg%3D%3D&trackingId=5U4KmrelgAQvuIh%2BvGo1vA%3D%3D,2026-06-20,QUALIFIED
Optum,Associate Clinical Documentation Improvement Specialist,"Phoenix, AZ",Unknown EHR,your current EHR,4,LOW,None detected,https://www.linkedin.com/jobs/view/associate-clinical-documentation-improvement-specialist-at-optum-4431157287?position=1&pageNum=0&refId=4xPsg4ht9AFs4csi29OrkQ%3D%3D&trackingId=2RV2ZGqRzdE8fJuCgAzBzA%3D%3D,2026-06-20,QUALIFIED
UC Irvine,CLINICAL DOCUMENTATION SPECIALIST 4 HX - Clinical Doc Integrity - FT Days REMOTE,"Irvine, CA",Epic,Epic,2,HIGH,appeal,https://www.linkedin.com/jobs/view/clinical-documentation-specialist-4-hx-clinical-doc-integrity-ft-days-remote-at-uc-irvine-4422648334?position=3&pageNum=0&refId=4xPsg4ht9AFs4csi29OrkQ%3D%3D&trackingId=riB2RlNGqC2BF8lVtqsA1A%3D%3D,2026-06-20,QUALIFIED
UCI Health,CLINICAL DOCUMENTATION SPECIALIST 4 HX - Clinical Doc Integrity - FT Days REMOTE,"Irvine, CA",Epic,Epic,2,HIGH,appeal,https://www.linkedin.com/jobs/view/clinical-documentation-specialist-4-hx-clinical-doc-integrity-ft-days-remote-at-uci-health-4422639467?position=4&pageNum=0&refId=4xPsg4ht9AFs4csi29OrkQ%3D%3D&trackingId=1d%2B5laWe0tHbQ31GTTAyGw%3D%3D,2026-06-20,QUALIFIED
"Penn Medicine, University of Pennsylvania Health System",HIM Clinical Documentation Specialist,"Lancaster, PA",Epic,Epic,2,MEDIUM,None detected,https://www.linkedin.com/jobs/view/him-clinical-documentation-specialist-at-penn-medicine-university-of-pennsylvania-health-system-4414758861?position=5&pageNum=0&refId=4xPsg4ht9AFs4csi29OrkQ%3D%3D&trackingId=qUG9UIvaK4opOkOPQNuwNw%3D%3D,2026-06-20,QUALIFIED
"United Surgical Partners International, Inc",Facility Appeals Denial Management Specialist,"Oklahoma City, OK",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/facility-appeals-denial-management-specialist-at-united-surgical-partners-international-inc-4419347776?position=1&pageNum=0&refId=t81gnRHInpTPMflPaN7M3Q%3D%3D&trackingId=Ri0V8BgyU%2BxwCE5qa3hEPA%3D%3D,2026-06-18,QUALIFIED
Healthrise,"Manager, Denials Operations","Farmington, MI",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/manager-denials-operations-at-healthrise-4423568153?position=6&pageNum=0&refId=t81gnRHInpTPMflPaN7M3Q%3D%3D&trackingId=GnzEbmBZIEj4lM%2B8S1%2FYVQ%3D%3D,2026-06-18,QUALIFIED
ACC Senior Services,REVENUE & BILLING CYCLE MANAGER,"Sacramento, CA",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/revenue-billing-cycle-manager-at-acc-senior-services-4387177338?position=7&pageNum=0&refId=t81gnRHInpTPMflPaN7M3Q%3D%3D&trackingId=eUKfQXwoWQoLlwfEnNySHw%3D%3D,2026-06-18,QUALIFIED
"ARMADA, Ltd.",Personnel Security Specialist,"Washington, DC",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/personnel-security-specialist-at-armada-ltd-4417786592?position=8&pageNum=0&refId=t81gnRHInpTPMflPaN7M3Q%3D%3D&trackingId=1Xkbk2tjpVUGwe3FsPOLSw%3D%3D,2026-06-18,QUALIFIED
Heartbeat Health,Director of Revenue Cycle Management & Credentialing,United States,Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/director-of-revenue-cycle-management-credentialing-at-heartbeat-health-4422171150?position=10&pageNum=0&refId=t81gnRHInpTPMflPaN7M3Q%3D%3D&trackingId=9RoJ7Qc%2BU48%2FP2RTdAfMpQ%3D%3D,2026-06-18,QUALIFIED
MicroSourcing,Medical Content Analyst,"Manila, National Capital Region, Philippines",Unknown,your current EHR,1,MEDIUM,Unknown,https://ph.linkedin.com/jobs/view/medical-content-analyst-at-microsourcing-4418949751?position=6&pageNum=0&refId=6SueZHWQiQuPivdjNZtHtQ%3D%3D&trackingId=UNgv57YJrtRYSBjmBJbf3g%3D%3D,2026-06-18,QUALIFIED
Lyric,Medical Content Analyst,"Manila, National Capital Region, Philippines",Unknown,your current EHR,1,MEDIUM,Unknown,https://ph.linkedin.com/jobs/view/medical-content-analyst-at-lyric-4425059924?position=8&pageNum=0&refId=6SueZHWQiQuPivdjNZtHtQ%3D%3D&trackingId=eJR%2BIl9OCb%2BebXfAilSqLw%3D%3D,2026-06-18,QUALIFIED
Jobgether,Denials Prevention Revenue Cycle Analyst,United States,Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/denials-prevention-revenue-cycle-analyst-at-jobgether-4426225986?position=6&pageNum=0&refId=AVGblo%2FrZ%2BevAOVTux1bUg%3D%3D&trackingId=2MY1ExxeTQtk8ko%2Fm5LsFA%3D%3D,2026-06-18,QUALIFIED
Prime Healthcare,Revenue Cycle Analyst,"Farmers Branch, TX",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-prime-healthcare-4368889866?position=7&pageNum=0&refId=AVGblo%2FrZ%2BevAOVTux1bUg%3D%3D&trackingId=5aOg2CwtIol5r%2BO%2FhQ1%2F7w%3D%3D,2026-06-18,QUALIFIED
"Delphi-US, LLC - Peacemakers in the Talent War",Revenue Cycle Analyst,"Providence, RI",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-delphi-us-llc-peacemakers-in-the-talent-war-4427759174?position=8&pageNum=0&refId=AVGblo%2FrZ%2BevAOVTux1bUg%3D%3D&trackingId=6PI8ZweCb8%2BWCRB6R%2BeF1w%3D%3D,2026-06-18,QUALIFIED
Shriners Children's,Senior Revenue Cycle Analyst (CA),United States,Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/senior-revenue-cycle-analyst-ca-at-shriners-children-s-4425565440?position=9&pageNum=0&refId=AVGblo%2FrZ%2BevAOVTux1bUg%3D%3D&trackingId=55wpeRY0ErGaFoKkwAuAzw%3D%3D,2026-06-18,QUALIFIED
Andalusia Health,Revenue Cycle Analyst,"Andalusia, AL",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-andalusia-health-4418633312?position=10&pageNum=0&refId=AVGblo%2FrZ%2BevAOVTux1bUg%3D%3D&trackingId=Nq1150YYl3vWOvsQ1V0blg%3D%3D,2026-06-18,QUALIFIED
Xtend Healthcare,Medicare Specialist,United States,Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/medicare-specialist-at-xtend-healthcare-4427725752?position=4&pageNum=0&refId=fBOUs6nw5MwSGONAvgXZgQ%3D%3D&trackingId=W2NwzS1gXA%2FRKtja28WlYw%3D%3D,2026-06-18,QUALIFIED
Boulder Care,Medical Claims and Billing Specialist,"Las Vegas, NV",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/medical-claims-and-billing-specialist-at-boulder-care-4427057523?position=7&pageNum=0&refId=fBOUs6nw5MwSGONAvgXZgQ%3D%3D&trackingId=mJ6jYwYhlQlqttkONkMwpQ%3D%3D,2026-06-18,QUALIFIED
"Handi Medical Supply, Inc",Medical Billing Specialist,"St Paul, MN",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/medical-billing-specialist-at-handi-medical-supply-inc-4425117760?position=8&pageNum=0&refId=fBOUs6nw5MwSGONAvgXZgQ%3D%3D&trackingId=uOsdfnutFCclGswHrDwpDQ%3D%3D,2026-06-18,QUALIFIED
Clarius Medical Group PLLC,Medical Biller/Coder,"Sugar Land, TX",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/medical-biller-coder-at-clarius-medical-group-pllc-4382127456?position=9&pageNum=0&refId=fBOUs6nw5MwSGONAvgXZgQ%3D%3D&trackingId=a3XHoVvxdR51kr27jQBWpQ%3D%3D,2026-06-18,QUALIFIED
WellPsyche Medical Group,Claims Follow-Up Lead-CA,"Los Angeles, CA",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/claims-follow-up-lead-ca-at-wellpsyche-medical-group-4380546092?position=10&pageNum=0&refId=fBOUs6nw5MwSGONAvgXZgQ%3D%3D&trackingId=9J5OLVI1NU%2FeiXfC0iETbg%3D%3D,2026-06-18,QUALIFIED
Recruitify_HR,Medical Billing Specialist. Salary upto 30K.,Metro Manila,Unknown,your current EHR,1,MEDIUM,Unknown,https://ph.linkedin.com/jobs/view/medical-billing-specialist-salary-upto-30k-at-recruitify-hr-4425826829?position=6&pageNum=0&refId=YrkFnGx9kkUH60Cbz40uMQ%3D%3D&trackingId=UO3ct4%2F7rWIuuytwzIh%2FAg%3D%3D,2026-06-18,QUALIFIED
SonderMind,Clinical Quality Specialist,"Dallas, TX",Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/clinical-quality-specialist-at-sondermind-4414908968?position=6&pageNum=0&refId=STZZntfnMkCoy%2B7uv7QuPw%3D%3D&trackingId=2Kj2O0NYnQHXC%2FP14260qg%3D%3D,2026-06-18,QUALIFIED
Nira Medical,Benefits and Authorizations Specialist,United States,Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/benefits-and-authorizations-specialist-at-nira-medical-4318299795?position=7&pageNum=0&refId=STZZntfnMkCoy%2B7uv7QuPw%3D%3D&trackingId=csuw4LhdcYazISQjsEgTfw%3D%3D,2026-06-18,QUALIFIED
AbsoluteCare,Clinical Documentation Excellence Specialist,United States,Unknown,your current EHR,1,MEDIUM,Unknown,https://www.linkedin.com/jobs/view/clinical-documentation-excellence-specialist-at-absolutecare-4393003938?position=10&pageNum=0&refId=STZZntfnMkCoy%2B7uv7QuPw%3D%3D&trackingId=JmEq4z%2B8rvqLHCKQULLwpg%3D%3D,2026-06-18,QUALIFIED
Oracle,Clinical Informaticist,"Bengaluru, Karnataka, India",Unknown,your current EHR,1,MEDIUM,Unknown,https://in.linkedin.com/jobs/view/clinical-informaticist-at-oracle-4423100140?position=9&pageNum=0&refId=Nty5%2FFSORL0wrV4SZp%2BsZg%3D%3D&trackingId=RaSYGqkmpmeElgh9og4%2B7Q%3D%3D,2026-06-18,QUALIFIED
